account_id,app,reviewer,decision,review_date
A000676,Expense,prior.reviewer,approved,2026-10-05
A000712,Badge access,prior.reviewer,approved,2026-10-11
A000070,Gateway,prior.reviewer,approved,2026-10-09
A000407,Active Directory,prior.reviewer,approved,2026-09-28
A000628,Jenkins,prior.reviewer,approved,2026-09-28
A000483,Expense,prior.reviewer,approved,2026-10-07
A000992,Zoom,prior.reviewer,approved,2026-09-27
A001039,PeopleHub HRIS,prior.reviewer,approved,2026-09-28
A000636,Vault,prior.reviewer,approved,2026-09-23
A000109,Slack,prior.reviewer,approved,2026-09-30
A000931,Gateway,prior.reviewer,approved,2026-09-30
A000524,Jenkins,prior.reviewer,approved,2026-09-24
A000120,Expense,prior.reviewer,approved,2026-10-05
A000094,Gateway,prior.reviewer,approved,2026-10-01
A000566,Vault,prior.reviewer,approved,2026-10-12
A000546,Vault,prior.reviewer,approved,2026-10-08
A000663,Zoom,prior.reviewer,approved,2026-09-23
A000505,Badge access,prior.reviewer,approved,2026-10-09
A001148,AWS Prod,prior.reviewer,approved,2026-10-12
A000211,VPN,prior.reviewer,approved,2026-09-29
A000424,Snowflake,prior.reviewer,approved,2026-09-30
A000194,PeopleHub HRIS,prior.reviewer,approved,2026-10-02
A000615,Compass CRM,prior.reviewer,approved,2026-10-12
A000055,Slack,prior.reviewer,approved,2026-09-30
A000550,VPN,prior.reviewer,approved,2026-09-28
A000930,Expense,prior.reviewer,approved,2026-10-10
A000398,VPN,prior.reviewer,approved,2026-09-27
A000124,Box,prior.reviewer,approved,2026-09-27
A000935,PeopleHub HRIS,prior.reviewer,approved,2026-10-06
A000927,Badge access,prior.reviewer,approved,2026-09-24
A001175,Compass CRM,prior.reviewer,approved,2026-09-29
A000724,Slack,prior.reviewer,approved,2026-10-03
A000661,Jenkins,prior.reviewer,approved,2026-09-30
A001070,PeopleHub HRIS,prior.reviewer,approved,2026-10-07
A000684,Jenkins,prior.reviewer,approved,2026-09-27
A000709,Badge access,prior.reviewer,approved,2026-10-03
A000133,VPN,prior.reviewer,conditional,2026-10-02
A000805,Badge access,prior.reviewer,approved,2026-10-12
A000524,Box,prior.reviewer,approved,2026-09-24
A000751,PeopleHub HRIS,prior.reviewer,approved,2026-10-09
A000663,Box,prior.reviewer,approved,2026-10-07
A000279,Snowflake,prior.reviewer,approved,2026-09-28
A000032,Badge access,prior.reviewer,approved,2026-09-29
A000198,Gateway,prior.reviewer,approved,2026-09-27
A000626,VPN,prior.reviewer,approved,2026-10-08
A000162,Gateway,prior.reviewer,approved,2026-10-03
A000175,PeopleHub HRIS,prior.reviewer,approved,2026-10-07
A000893,AWS NonProd,prior.reviewer,approved,2026-10-11
A000475,Jenkins,prior.reviewer,approved,2026-10-02
